1 	146 	67 - The HOT Team 	73 [FIM District - Waterford Event] 	73 [FIM District - Howell Event] 	Qualified 	Qualified 	0
211 	47 	3570 - Pheonix 	23 [FIM District - Standish-Sterling Event] 	24 [FIM District - Midland Event] 	--- 	--- 	0
212 	47 	1 - The Juggernauts 	32 [FIM District - Kettering University Event #1] 	15 [FIM District - Marysville Event] 	--- 	--- 	0
213 	46 	5072 - Raider Robotics 	22 [FIM District - Escanaba Event] 	24 [FIM District - Traverse City Event] 	--- 	--- 	0
214 	46 	5525 - Tool Cats 	19 [FIM District - Standish-Sterling Event] 	22 [FIM District - Traverse City Event] 	--- 	--- 	5
215 	46 	4827 - Minerbotics 	14 [FIM District - Escanaba Event] 	32 [FIM District - Lake Superior State University Event] 	--- 	--- 	0
216 	46 	5498 - Wired Devils 	7 [FIM District - Southfield Event] 	34 [FIM District - Woodhaven Event] 	--- 	--- 	5
217 	46 	6089 - Annapolis Cougars 	24 [FIM District - Livonia Event] 	12 [FIM District - Woodhaven Event] 	--- 	--- 	10
218 	45 	1896 - Concussive Engineers 	10 [FIM District - Midland Event] 	35 [FIM District - Traverse City Event] 	--- 	--- 	0
219 	45 	5622 - Green Hornets 	17 [FIM District - St. Joseph Event] 	23 [FIM District - East Kentwood Event] 	--- 	--- 	5
220 	45 	1502 - Technical Difficulties 	25 [FIM District - Standish-Sterling Event] 	20 [FIM District - Lansing Event] 	--- 	--- 	0
221 	45 	5216 - E-Ville Empire 	9 [FIM District - Kettering University Event #2] 	36 [FIM District - Midland Event] 	--- 	--- 	0
222 	45 	5559 - Gear Grinders 	10 [FIM District - Lansing Event] 	30 [FIM District - Howell Event] 	--- 	--- 	5
223 	45 	5531 - Orange Crush 	12 [FIM District - Livonia Event] 	28 [FIM District - Woodhaven Event] 	--- 	--- 	5
224 	45 	5447 - Team Robotica 	14 [FIM District - Standish-Sterling Event] 	26 [FIM District - Midland Event] 	--- 	--- 	5
225 	45 	6043 - Allegan Tigers Robotics Team 	23 [FIM District - Lakeview Event] 	12 [FIM District - West Michigan Event] 	--- 	--- 	10
226 	44 	5424 - Rogue Robots 	21 [FIM District - Midland Event] 	18 [FIM District - Howell Event] 	--- 	--- 	5
227 	43 	4327 - Q Branch 	9 [FIM District - Southfield Event] 	34 [FIM District - East Kentwood Event] 	--- 	--- 	0
228 	43 	5066 - Singularity 	12 [FIM District - Waterford Event] 	31 [FIM District - Livonia Event] 	--- 	--- 	0
229 	43 	5561 - Raider Robotics 	14 [FIM District - Kettering University Event #1] 	24 [FIM District - Midland Event] 	--- 	--- 	5
230 	43 	5473 - Team Spitfire. 	7 [FIM District - St. Joseph Event] 	31 [FIM District - Lansing Event] 	--- 	--- 	5
231 	43 	6077 - Wiking Kujon 	21 [FIM District - Lake Superior State University Event] 	12 [FIM District - Traverse City Event] 	--- 	--- 	10
232 	42 	5697 - Bearcats 	20 [FIM District - Kettering University Event #2] 	17 [FIM District - Ann Arbor Skyline Event] 	--- 	--- 	5
233 	42 	5603 - Rise of the Warrior Bots 	7 [FIM District - Midland Event] 	30 [FIM District - Traverse City Event] 	--- 	--- 	5
234 	42 	5709 - Rudyard Nerf Herders 	22 [FIM District - Escanaba Event] 	15 [FIM District - Traverse City Event] 	--- 	--- 	5
235 	42 	830 - The RatPack 	20 [FIM District - Lakeview Event] 	22 [FIM District - Howell Event] 	--- 	--- 	0
236 	42 	5517 - District 5517 The Engineers on... 	11 [FIM District - Kettering University Event #2] 	26 [FIM District - Howell Event] 	--- 	--- 	5
237 	42 	5560 - Central Lake Trobotics 	24 [FIM District - Standish-Sterling Event] 	11 [FIM District - Midland Event] 	--- 	--- 	5
238 	42 	6113 - M.A.R.C. 1 	17 [FIM District - Escanaba Event] 	15 [FIM District - Lake Superior State University Event] 	--- 	--- 	10
239 	42 	6073 - Cav-Bots 	14 [FIM District - Kettering University Event #2] 	18 [FIM District - Midland Event] 	--- 	--- 	10
240 	42 	6094 - Manic Mechanics 	18 [FIM District - St. Joseph Event] 	14 [FIM District - West Michigan Event] 	--- 	--- 	10
241 	41 	5260 - Owosso Operating System 	12 [FIM District - Kettering University Event #2] 	29 [FIM District - Lansing Event] 	--- 	--- 	0
242 	41 	3547 - VIRUS 	20 [FIM District - St. Joseph Event] 	21 [FIM District - Livonia Event] 	--- 	--- 	0
243 	41 	3175 - Knight Vision 	17 [FIM District - Southfield Event] 	24 [FIM District - Center Line Event] 	--- 	--- 	0
244 	41 	6088 - Stephenson Eagles 	9 [FIM District - Escanaba Event] 	22 [FIM District - Lake Superior State University Event] 	--- 	--- 	10
245 	40 	4368 - BullBots 	12 [FIM District - Lakeview Event] 	28 [FIM District - Marysville Event] 	--- 	--- 	0
246 	40 	5692 - ChiefBots 	23 [FIM District - Escanaba Event] 	12 [FIM District - Lake Superior State University Event] 	--- 	--- 	5
247 	40 	3603 - Cyber Coyotes 	24 [FIM District - Standish-Sterling Event] 	16 [FIM District - West Michigan Event] 	--- 	--- 	0
248 	40 	815 - Advanced Power 	17 [FIM District - Southfield Event] 	23 [FIM District - Center Line Event] 	--- 	--- 	0
249 	40 	5436 - Cyber Cats 	18 [FIM District - Waterford Event] 	17 [FIM District - Marysville Event] 	--- 	--- 	5
250 	39 	5555 - Spartans 	26 [FIM District - Center Line Event] 	8 [FIM District - Troy Event] 	--- 	--- 	5
251 	39 	5205 - CHS FullMetal-Jackets 	8 [FIM District - Lansing Event] 	31 [FIM District - Ann Arbor Skyline Event] 	--- 	--- 	0
252 	38 	5056 - MegaHurtz 	14 [FIM District - Kettering University Event #1] 	24 [FIM District - St. Joseph Event] 	--- 	--- 	0
253 	38 	5224 - Panther Power 	26 [FIM District - Standish-Sterling Event] 	12 [FIM District - Midland Event] 	--- 	--- 	0
254 	38 	5523 - RoboWarriors 	9 [FIM District - Howell Event] 	24 [FIM District - Ann Arbor Skyline Event] 	--- 	--- 	5
255 	37 	216 - More RoboDawgs 	10 [FIM District - St. Joseph Event] 	27 [FIM District - West Michigan Event] 	--- 	--- 	0
256 	37 	4855 - Ramageddon 	17 [FIM District - St. Joseph Event] 	20 [FIM District - Woodhaven Event] 	--- 	--- 	0
257 	37 	5204 - Robocats 	9 [FIM District - Lakeview Event] 	28 [FIM District - Ann Arbor Skyline Event] 	--- 	--- 	0
258 	37 	5530 - The Lawnmowers 	9 [FIM District - Livonia Event] 	23 [FIM District - Howell Event] 	--- 	--- 	5
259 	37 	5478 - Pershing Doughbots 	8 [FIM District - Southfield Event] 	24 [FIM District - Center Line Event] 	--- 	--- 	5
260 	37 	1322 - Genesee Robotics Area Youth Te... 	25 [FIM District - Kettering University Event #1] 	12 [FIM District - Lake Superior State University Event] 	Qualified 	--- 	0
261 	36 	4375 - Westend Gearbusters 	6 [FIM District - Escanaba Event] 	30 [FIM District - Lake Superior State University Event] 	--- 	--- 	0
262 	36 	5229 - Heritage Hawkbots 	30 [FIM District - Standish-Sterling Event] 	6 [FIM District - Midland Event] 	--- 	--- 	0
263 	36 	1254 - Tech Force 	24 [FIM District - Lakeview Event] 	12 [FIM District - West Michigan Event] 	--- 	--- 	0
264 	36 	3632 - D-Techs 	10 [FIM District - Southfield Event] 	26 [FIM District - Center Line Event] 	--- 	--- 	0
265 	36 	1528 - MTR (Monroe Trojan Robotics) 	11 [FIM District - Troy Event] 	25 [FIM District - Woodhaven Event] 	--- 	--- 	0
266 	36 	5963 - CA Frost High School 	19 [FIM District - Kettering University Event #2] 	7 [FIM District - East Kentwood Event] 	--- 	--- 	10
267 	36 	5989 - Panthers 	11 [FIM District - Escanaba Event] 	15 [FIM District - Lake Superior State University Event] 	--- 	--- 	10
268 	36 	6152 - ROBO-FALCONS 	14 [FIM District - Waterford Event] 	12 [FIM District - Livonia Event] 	--- 	--- 	10
269 	35 	5263 - Robo-Bucs 	13 [FIM District - Waterford Event] 	22 [FIM District - Woodhaven Event] 	--- 	--- 	0
270 	35 	453 - Rockem Sockem Robotics 	11 [FIM District - Southfield Event] 	24 [FIM District - Center Line Event] 	--- 	--- 	0
271 	35 	6065 - Titanium Dragons 	13 [FIM District - West Michigan Event] 	12 [FIM District - East Kentwood Event] 	--- 	--- 	10
272 	35 	5535 - Bionic Bison 	17 [FIM District - St. Joseph Event] 	13 [FIM District - Lake Superior State University Event] 	--- 	--- 	5
273 	34 	5756 - R.E.C'in Crew 	7 [FIM District - Southfield Event] 	22 [FIM District - Center Line Event] 	--- 	--- 	5
274 	34 	1504 - Desperate Penguins 	13 [FIM District - Lansing Event] 	21 [FIM District - Ann Arbor Skyline Event] 	--- 	--- 	0
275 	34 	288 - The RoboDawgs 	24 [FIM District - St. Joseph Event] 	10 [FIM District - West Michigan Event] 	--- 	--- 	0
276 	34 	1243 - Dragons 	21 [FIM District - Kettering University Event #2] 	13 [FIM District - Lansing Event] 	--- 	--- 	0
277 	34 	5487 - Tiger Robotics 	10 [FIM District - Kettering University Event #1] 	19 [FIM District - Midland Event] 	--- 	--- 	5
278 	34 	5152 - Alotobots 	21 [FIM District - Lakeview Event] 	13 [FIM District - Howell Event] 	--- 	--- 	0
279 	34 	6208 - Mechstangs 	13 [FIM District - Lakeview Event] 	11 [FIM District - Ann Arbor Skyline Event] 	--- 	--- 	10
280 	34 	6019 - Lapeer Homeschool 	9 [FIM District - Marysville Event] 	15 [FIM District - Woodhaven Event] 	--- 	--- 	10
281 	34 	6137 - Red Theory 	7 [FIM District - Lakeview Event] 	17 [FIM District - Lansing Event] 	--- 	--- 	10
282 	33 	5702 - Robotawatomis 	6 [FIM District - Escanaba Event] 	22 [FIM District - Lake Superior State University Event] 	--- 	--- 	5
283 	33 	3398 - Crushing Crusaders 	14 [FIM District - Center Line Event] 	19 [FIM District - Troy Event] 	--- 	--- 	0
284 	33 	4390 - ATA Coregears 	8 [FIM District - Livonia Event] 	25 [FIM District - Lake Superior State University Event] 	--- 	--- 	0
285 	33 	5660 - A.R.T. Atherton Robotics Team 	19 [FIM District - Kettering University Event #1] 	9 [FIM District - Marysville Event] 	--- 	--- 	5
286 	33 	5674 - The GEARHOUNDS 	12 [FIM District - Lakeview Event] 	16 [FIM District - Lansing Event] 	--- 	--- 	5
287 	33 	2673 - Tenacious Technicians 	27 [FIM District - Center Line Event] 	6 [FIM District - Ann Arbor Skyline Event] 	--- 	--- 	0
288 	33 	6112 - Stang Nation 	15 [FIM District - Escanaba Event] 	8 [FIM District - Traverse City Event] 	--- 	--- 	10
289 	33 	6096 - UPSM Cobras 	17 [FIM District - Center Line Event] 	6 [FIM District - Ann Arbor Skyline Event] 	--- 	--- 	10
290 	32 	4737 - Atomigators 	8 [FIM District - Waterford Event] 	24 [FIM District - Woodhaven Event] 	--- 	--- 	0
291 	32 	5161 - Trojan Technicians 	9 [FIM District - Lakeview Event] 	23 [FIM District - West Michigan Event] 	--- 	--- 	0
292 	32 	5144 - P.R.E.D.A.T.O.R.S 	13 [FIM District - Livonia Event] 	19 [FIM District - Woodhaven Event] 	--- 	--- 	0
293 	32 	5612 - RoboRaptors 	15 [FIM District - Kettering University Event #1] 	12 [FIM District - Marysville Event] 	--- 	--- 	5
294 	32 	5577 - Kinematic Wolves 	12 [FIM District - Southfield Event] 	15 [FIM District - Ann Arbor Skyline Event] 	--- 	--- 	5
295 	31 	6092 - Q-Bots 	8 [FIM District - Lakeview Event] 	13 [FIM District - Ann Arbor Skyline Event] 	--- 	--- 	10
296 	31 	6119 - Puma's 	11 [FIM District - Lakeview Event] 	10 [FIM District - Escanaba Event] 	--- 	--- 	10
297 	30 	5193 - Pantheon 	6 [FIM District - Waterford Event] 	24 [FIM District - Midland Event] 	--- 	--- 	0
298 	30 	5014 - Wildcats 	19 [FIM District - Southfield Event] 	11 [FIM District - Woodhaven Event] 	--- 	--- 	0
299 	30 	314 - The Megatron Oracles 	13 [FIM District - Kettering University Event #2] 	17 [FIM District - Livonia Event] 	--- 	--- 	0
300 	30 	6033 - Gaget Agents 	8 [FIM District - Midland Event] 	12 [FIM District - Traverse City Event] 	--- 	--- 	10
301 	30 	5745 - Gearheads 	11 [FIM District - St. Joseph Event] 	14 [FIM District - East Kentwood Event] 	--- 	--- 	5
302 	30 	6099 - Knight Riders 	10 [FIM District - Center Line Event] 	10 [FIM District - Troy Event] 	--- 	--- 	10
303 	30 	6087 - Cybertronic Lancers 	12 [FIM District - St. Joseph Event] 	8 [FIM District - Lake Superior State University Event] 	--- 	--- 	10
304 	29 	5246 - Tech Tribe 	23 [FIM District - West Michigan Event] 	6 [FIM District - East Kentwood Event] 	--- 	--- 	0
305 	29 	5175 - Robo Panthers 	25 [FIM District - Standish-Sterling Event] 	4 [FIM District - Escanaba Event] 	--- 	--- 	0
306 	29 	5486 - Robotic Turmoil 	12 [FIM District - Lakeview Event] 	12 [FIM District - Escanaba Event] 	--- 	--- 	5
307 	29 	5562 - Laker Logistics 	12 [FIM District - Standish-Sterling Event] 	12 [FIM District - Traverse City Event] 	--- 	--- 	5
308 	29 	5642 - Mumford Mustangs 	12 [FIM District - Center Line Event] 	12 [FIM District - Troy Event] 	--- 	--- 	5
309 	29 	6005 - Cardinaltronics 	7 [FIM District - East Kentwood Event] 	12 [FIM District - Traverse City Event] 	--- 	--- 	10
310 	29 	6102 - Mustangs 	11 [FIM District - Midland Event] 	8 [FIM District - East Kentwood Event] 	--- 	--- 	10
311 	29 	6078 - RoboRams 	11 [FIM District - Lansing Event] 	8 [FIM District - Howell Event] 	--- 	--- 	10
312 	28 	5619 - Jaguars 	6 [FIM District - Southfield Event] 	17 [FIM District - Troy Event] 	--- 	--- 	5
313 	28 	5182 - Chieftainators 	9 [FIM District - St. Joseph Event] 	19 [FIM District - Lansing Event] 	--- 	--- 	0
314 	28 	4983 - IronBots 	9 [FIM District - Standish-Sterling Event] 	19 [FIM District - Escanaba Event] 	--- 	--- 	0
315 	28 	5688 - Robo Knights 	11 [FIM District - Waterford Event] 	12 [FIM District - Lansing Event] 	--- 	--- 	5
316 	28 	5708 - Zebrotics 	9 [FIM District - Waterford Event] 	14 [FIM District - Livonia Event] 	--- 	--- 	5
317 	28 	5927 - iCademy Globetrotters 	7 [FIM District - West Michigan Event] 	11 [FIM District - East Kentwood Event] 	--- 	--- 	10
318 	28 	6053 - Magi Pride 	6 [FIM District - Lakeview Event] 	12 [FIM District - Ann Arbor Skyline Event] 	--- 	--- 	10
319 	28 	6138 - Bulldogs 	9 [FIM District - Lakeview Event] 	9 [FIM District - East Kentwood Event] 	--- 	--- 	10
320 	27 	5110 - Robo Herd 	18 [FIM District - Lake Superior State University Event] 	9 [FIM District - Traverse City Event] 	--- 	--- 	0
321 	27 	4380 - Dynomite 	13 [FIM District - Kettering University Event #2] 	14 [FIM District - Woodhaven Event] 	--- 	--- 	0
322 	27 	5676 - Robo-Hornets 	9 [FIM District - Lansing Event] 	13 [FIM District - Howell Event] 	--- 	--- 	5
323 	27 	5784 - Vulcans 	11 [FIM District - Kettering University Event #1] 	11 [FIM District - Marysville Event] 	--- 	--- 	5
324 	27 	5467 - RoboTractors 	10 [FIM District - Waterford Event] 	12 [FIM District - Woodhaven Event] 	--- 	--- 	5
325 	26 	240 - Tempest 	8 [FIM District - Livonia Event] 	18 [FIM District - Troy Event] 	--- 	--- 	0
326 	26 	5774 - Maximum Overload 	12 [FIM District - Kettering University Event #2] 	9 [FIM District - Woodhaven Event] 	--- 	--- 	5
327 	26 	5711 - Battling Bathers 	7 [FIM District - Waterford Event] 	14 [FIM District - Woodhaven Event] 	--- 	--- 	5
328 	26 	6100 - MSMohawks 	11 [FIM District - West Michigan Event] 	5 [FIM District - Traverse City Event] 	--- 	--- 	10
329 	25 	4337 - R 13 	7 [FIM District - West Michigan Event] 	18 [FIM District - East Kentwood Event] 	--- 	--- 	0
330 	25 	3302 - TurboTrojans 	16 [FIM District - Waterford Event] 	9 [FIM District - Woodhaven Event] 	--- 	--- 	0
331 	25 	4811 - Majestic Eagles 	11 [FIM District - Center Line Event] 	14 [FIM District - Troy Event] 	--- 	--- 	0
332 	25 	5251 - WAYbots 	14 [FIM District - Kettering University Event #1] 	11 [FIM District - Kettering University Event #2] 	--- 	--- 	0
333 	25 	5695 - Heavy Duty Eagles 	14 [FIM District - Livonia Event] 	6 [FIM District - Lake Superior State University Event] 	--- 	--- 	5
334 	25 	4482 - Intelligent Design [ID Robotic... 	16 [FIM District - Lakeview Event] 	9 [FIM District - East Kentwood Event] 	--- 	--- 	0
335 	25 	6079 - Mech Tech 	8 [FIM District - Escanaba Event] 	7 [FIM District - Lake Superior State University Event] 	--- 	--- 	10
336 	25 	6091 - Eagle 1 	6 [FIM District - Marysville Event] 	9 [FIM District - Howell Event] 	--- 	--- 	10
337 	24 	313 - The Bionic Zebras 	9 [FIM District - Waterford Event] 	15 [FIM District - Livonia Event] 	--- 	--- 	0
338 	24 	322 - Team F.I.R.E. 	7 [FIM District - Kettering University Event #1] 	17 [FIM District - Troy Event] 	--- 	--- 	0
339 	24 	4398 - Imprimis Deo 	13 [FIM District - Standish-Sterling Event] 	11 [FIM District - Traverse City Event] 	--- 	--- 	0
340 	24 	5703 - Eagles Crew 	10 [FIM District - Standish-Sterling Event] 	9 [FIM District - Midland Event] 	--- 	--- 	5
341 	24 	6122 - Bear Lake 	8 [FIM District - St. Joseph Event] 	6 [FIM District - Traverse City Event] 	--- 	--- 	10
342 	24 	6029 - The Railbots 	7 [FIM District - Troy Event] 	7 [FIM District - Woodhaven Event] 	--- 	--- 	10
343 	24 	6074 - RoscoBots 	8 [FIM District - Standish-Sterling Event] 	6 [FIM District - Traverse City Event] 	--- 	--- 	10
344 	24 	5982 - Circuits of Destruction 	7 [FIM District - Midland Event] 	7 [FIM District - Traverse City Event] 	--- 	--- 	10
345 	23 	5257 - CometKaze 	4 [FIM District - Midland Event] 	19 [FIM District - Traverse City Event] 	--- 	--- 	0
346 	23 	5156 - Laker Robots 	17 [FIM District - Standish-Sterling Event] 	6 [FIM District - Marysville Event] 	--- 	--- 	0
347 	23 	5501 - Bobcats 	6 [FIM District - Lakeview Event] 	12 [FIM District - Lansing Event] 	--- 	--- 	5
348 	23 	5650 - Carbonite Crusaders 	12 [FIM District - Waterford Event] 	6 [FIM District - Troy Event] 	--- 	--- 	5
349 	23 	2246 - The Army of Sum 	10 [FIM District - Lake Superior State University Event] 	13 [FIM District - Traverse City Event] 	--- 	--- 	0
350 	23 	5532 - The G.O.A.T.S 	8 [FIM District - Center Line Event] 	10 [FIM District - Troy Event] 	--- 	--- 	5
351 	23 	5704 - Blended Learning Academies 	7 [FIM District - Kettering University Event #2] 	11 [FIM District - Lansing Event] 	--- 	--- 	5
352 	23 	5575 - SHOCK 	7 [FIM District - Standish-Sterling Event] 	11 [FIM District - Escanaba Event] 	--- 	--- 	5
353 	22 	247 - Da Bears 	16 [FIM District - Southfield Event] 	6 [FIM District - Lake Superior State University Event] 	--- 	--- 	0
354 	22 	4851 - JungleBots 	12 [FIM District - Center Line Event] 	10 [FIM District - Ann Arbor Skyline Event] 	--- 	--- 	0
355 	22 	4715 - Big Bay Black Bears 	12 [FIM District - Escanaba Event] 	10 [FIM District - Lake Superior State University Event] 	--- 	--- 	0
356 	21 	5282 - Railroaders 	14 [FIM District - Waterford Event] 	7 [FIM District - Lansing Event] 	--- 	--- 	0
357 	21 	5706 - Tahquamenon Phenomenon 	7 [FIM District - Escanaba Event] 	9 [FIM District - Lake Superior State University Event] 	--- 	--- 	5
358 	21 	5527 - Cyber Phoenix 	8 [FIM District - Kettering University Event #2] 	8 [FIM District - Woodhaven Event] 	--- 	--- 	5
359 	21 	6011 - Cyber Trojans 	5 [FIM District - Lakeview Event] 	6 [FIM District - Howell Event] 	--- 	--- 	10
360 	20 	5213 - St. Ignace SHIELD 	9 [FIM District - Escanaba Event] 	11 [FIM District - Traverse City Event] 	--- 	--- 	0
361 	20 	5226 - Syn. Surgers 	8 [FIM District - Standish-Sterling Event] 	12 [FIM District - Kettering University Event #2] 	--- 	--- 	0
362 	20 	5201 - Bronco Bots 	13 [FIM District - Kettering University Event #2] 	7 [FIM District - Marysville Event] 	--- 	--- 	0
363 	20 	5641 - Eagles 	8 [FIM District - Kettering University Event #1] 	7 [FIM District - Howell Event] 	--- 	--- 	5
364 	20 	5685 - Robo Terriers 	9 [FIM District - Lakeview Event] 	6 [FIM District - Woodhaven Event] 	--- 	--- 	5
365 	20 	2591 - RedTails 	7 [FIM District - Center Line Event] 	13 [FIM District - Troy Event] 	--- 	--- 	0
366 	19 	4408 - The Robo Panthers 	15 [FIM District - Lakeview Event] 	4 [FIM District - Lansing Event] 	--- 	--- 	0
367 	19 	5316 - The Architects 	9 [FIM District - Standish-Sterling Event] 	10 [FIM District - East Kentwood Event] 	--- 	--- 	0
368 	19 	244 - RoboDawgs 3D 	9 [FIM District - St. Joseph Event] 	10 [FIM District - West Michigan Event] 	--- 	--- 	0
369 	19 	4405 - The Atoms Family 	6 [FIM District - Livonia Event] 	13 [FIM District - Woodhaven Event] 	--- 	Qualified 	0
370 	19 	3619 - Blackhawks 	8 [FIM District - Center Line Event] 	11 [FIM District - Woodhaven Event] 	--- 	--- 	0
371 	19 	3537 - Delta Force 	6 [FIM District - Standish-Sterling Event] 	12 [FIM District - Kettering University Event #2] 	--- 	--- 	0
372 	19 	5694 - Hamady Hawks 	8 [FIM District - Kettering University Event #1] 	6 [FIM District - Lansing Event] 	--- 	--- 	5
373 	19 	5713 - Beecher Cyber Bucs 	9 [FIM District - Kettering University Event #2] 	5 [FIM District - Howell Event] 	--- 	--- 	5
374 	19 	6136 - Ravens 	4 [FIM District - Troy Event] 	5 [FIM District - Woodhaven Event] 	--- 	--- 	10
375 	19 	5504 - The Loose Connections 	10 [FIM District - Standish-Sterling Event] 	4 [FIM District - Traverse City Event] 	--- 	--- 	5
376 	18 	5197 - DCP @ NW 	6 [FIM District - Center Line Event] 	12 [FIM District - Ann Arbor Skyline Event] 	--- 	--- 	0
377 	18 	468 - Aftershock 	9 [FIM District - Kettering University Event #1] 	9 [FIM District - Howell Event] 	--- 	--- 	0
378 	18 	4815 - ELECTROPANTHERS 	13 [FIM District - Center Line Event] 	5 [FIM District - Troy Event] 	--- 	--- 	0
379 	18 	5714 - Ojibwe Bots 	4 [FIM District - Lake Superior State University Event] 	9 [FIM District - Traverse City Event] 	--- 	--- 	5
380 	17 	1677 - Quantum Ninjas 	8 [FIM District - Lakeview Event] 	9 [FIM District - East Kentwood Event] 	--- 	--- 	0
381 	17 	5235 - Gears of Fortune 	11 [FIM District - Kettering University Event #1] 	6 [FIM District - Howell Event] 	--- 	--- 	0
382 	17 	4854 - Trobots 	10 [FIM District - Southfield Event] 	7 [FIM District - Ann Arbor Skyline Event] 	--- 	--- 	0
383 	17 	5533 - Electric Horse Power 	5 [FIM District - Livonia Event] 	7 [FIM District - Ann Arbor Skyline Event] 	--- 	--- 	5
384 	17 	5314 - Ice Bots 	5 [FIM District - Escanaba Event] 	12 [FIM District - Lake Superior State University Event] 	--- 	--- 	0
385 	17 	5664 - Big Red Robotics 	6 [FIM District - West Michigan Event] 	6 [FIM District - East Kentwood Event] 	--- 	--- 	5
386 	17 	5538 - Vikingbots 	6 [FIM District - Kettering University Event #1] 	6 [FIM District - Midland Event] 	--- 	--- 	5
387 	16 	1940 - The Tech Tigers 	5 [FIM District - St. Joseph Event] 	11 [FIM District - East Kentwood Event] 	--- 	--- 	0
388 	16 	4507 - TARminators 	7 [FIM District - Center Line Event] 	9 [FIM District - Ann Arbor Skyline Event] 	--- 	--- 	0
389 	16 	5231 - Radical Jays 	5 [FIM District - Midland Event] 	11 [FIM District - Lansing Event] 	--- 	--- 	0
390 	16 	5017 - Pirates 	12 [FIM District - Standish-Sterling Event] 	4 [FIM District - Marysville Event] 	--- 	--- 	0
391 	15 	2145 - HAZMATs 	7 [FIM District - Marysville Event] 	8 [FIM District - Howell Event] 	--- 	--- 	0
392 	15 	2224 - RoboPhoenix 	7 [FIM District - Livonia Event] 	8 [FIM District - Ann Arbor Skyline Event] 	--- 	--- 	0
393 	15 	5574 - P.A.N.T.H.E.R.S. 	5 [FIM District - Kettering University Event #2] 	5 [FIM District - East Kentwood Event] 	--- 	--- 	5
394 	14 	4568 - Robot Commander 	5 [FIM District - Lansing Event] 	9 [FIM District - Howell Event] 	--- 	--- 	0
395 	14 	4768 - Comets 	5 [FIM District - Southfield Event] 	9 [FIM District - Livonia Event] 	--- 	--- 	0
396 	14 	5227 - Eagle Elite 	7 [FIM District - Lakeview Event] 	7 [FIM District - Lansing Event] 	--- 	--- 	0
397 	14 	5183 - Devil Bots 	7 [FIM District - Kettering University Event #1] 	7 [FIM District - Escanaba Event] 	--- 	--- 	0
398 	14 	4998 - TESLA 	9 [FIM District - Kettering University Event #1] 	5 [FIM District - Marysville Event] 	--- 	--- 	0
399 	13 	5239 - Harper Woods Pioneers 	4 [FIM District - Center Line Event] 	9 [FIM District - Troy Event] 	--- 	--- 	0
400 	13 	3096 - The Village Bulldogs 	6 [FIM District - Center Line Event] 	7 [FIM District - Troy Event] 	--- 	--- 	0
401 	13 	3458 - Code Blue 	5 [FIM District - West Michigan Event] 	8 [FIM District - East Kentwood Event] 	--- 	--- 	0
402 	13 	5173 - Robohawks 	7 [FIM District - St. Joseph Event] 	6 [FIM District - West Michigan Event] 	--- 	--- 	0
403 	13 	5214 - The Mighty CavBots 	5 [FIM District - Center Line Event] 	8 [FIM District - Marysville Event] 	--- 	--- 	0
404 	13 	2676 - Ecorse Robo Raiders 	4 [FIM District - Waterford Event] 	9 [FIM District - Woodhaven Event] 	--- 	--- 	0
405 	13 	835 - The Sting 	13 [FIM District - Southfield Event] 	Not Played 	--- 	--- 	0
406 	12 	5225 - The Shambotz 	4 [FIM District - Livonia Event] 	8 [FIM District - Ann Arbor Skyline Event] 	--- 	--- 	0
407 	12 	4758 - RoboBlazers 	4 [FIM District - Southfield Event] 	8 [FIM District - Kettering University Event #2] 	--- 	--- 	0
408 	10 	5065 - Knights 	6 [FIM District - Troy Event] 	4 [FIM District - Ann Arbor Skyline Event] 	--- 	--- 	0
409 	10 	5215 - Steagles 	5 [FIM District - Kettering University Event #1] 	5 [FIM District - Ann Arbor Skyline Event] 	--- 	--- 	0
410 	8 	5255 - Robotic Tigers 	4 [FIM District - St. Joseph Event] 	4 [FIM District - West Michigan Event] 	--- 	--- 	0
411 	7 	4840 - The Panthers 	7 [FIM District - Woodhaven Event] 	Not Played 	--- 	--- 	0
